train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_num_layers,config/train_loop_config/depth,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/dropout,config/train_loop_config/init_lr_ratio,config/train_loop_config/final_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/message_hidden_dim,logdir
0.007064998149871826,0.004792847204953432,0.05694734305143356,0.05694734305143356,0.007064998149871826,199,1600,1768360497,checkpoint_000199,True,False,200,d3482946,2026-01-14_03-14-57,4.87139892578125,1088.0445313453674,946942,gypsum-gpu181,10.100.31.81,1088.0445313453674,200,82,2,4,800,64,0.2,0.06211564648914589,0.2712352200101254,0.0004182362644762536,1300,d3482946
0.05013961344957352,0.03336680307984352,0.08951263129711151,0.08951263129711151,0.05013961344957352,65,528,1768359710,checkpoint_000065,True,False,66,648cab4b,2026-01-14_03-01-50,2.159696102142334,198.14053678512573,951532,gypsum-gpu181,10.100.31.81,198.14053678512573,66,23,1,3,1500,64,0.0,0.012717146167328426,0.05542035340736248,0.00038889110562224623,400,648cab4b
0.08962517976760864,0.0933518260717392,0.17350174486637115,0.17350174486637115,0.08962517976760864,199,400,1768361845,checkpoint_000199,True,False,200,fab3fa55,2026-01-14_03-37-26,9.046272277832031,2102.5576441287994,963442,gypsum-gpu181,10.100.31.81,2102.5576441287994,200,55,1,3,1300,256,0.2,0.19140541939049863,0.02908870539848528,0.00015027137020187677,2100,fab3fa55
0.00023643302847631276,0.0002512511855456978,0.045321978628635406,0.045321978628635406,0.00023643302847631276,199,400,1768363206,checkpoint_000199,True,False,200,2bb76e9a,2026-01-14_04-00-07,11.47208046913147,2675.342204809189,983893,gypsum-gpu181,10.100.31.81,2675.342204809189,200,20,2,4,1300,256,0.0,0.08869012758676156,0.01382806898194014,0.004783506135960282,2400,2bb76e9a
0.0005920455441810191,0.0007506004185415804,0.03972891718149185,0.03972891718149185,0.0005920455441810191,126,2032,1768363244,checkpoint_000126,True,False,127,67d28d7f,2026-01-14_04-00-45,4.082070350646973,1364.353276014328,1003143,gypsum-gpu181,10.100.31.81,1364.353276014328,127,70,2,4,1500,32,0.0,0.2617548652730619,0.4166596782694961,0.005779197832376947,1800,67d28d7f
0.46720027923583984,0.629162073135376,0.45036065578460693,0.45036065578460693,0.46720027923583984,9,160,1768363325,checkpoint_000009,True,False,10,d16ec605,2026-01-14_04-02-06,14.110073804855347,93.80296277999878,1027772,gypsum-gpu181,10.100.31.81,93.80296277999878,10,26,1,6,1400,32,0.1,0.22368777656527336,0.0798471603038746,0.00010541749956363284,2100,d16ec605
0.3116232454776764,0.3644144535064697,0.32323235273361206,0.32323235273361206,0.3116232454776764,18,76,1768363360,checkpoint_000018,True,False,19,fb5e1fe7,2026-01-14_04-02-40,3.280663013458252,101.2779791355133,1028718,gypsum-gpu181,10.100.31.81,101.2779791355133,19,72,2,2,700,128,0.3,0.06577839256489168,0.517434547072615,0.0012855632895593316,1400,fb5e1fe7
0.06760425120592117,0.12732377648353577,0.13305503129959106,0.13305503129959106,0.06760425120592117,35,576,1768363555,checkpoint_000035,True,False,36,192fe7df,2026-01-14_04-05-56,3.9615612030029297,199.18083238601685,1031318,gypsum-gpu181,10.100.31.81,199.18083238601685,36,10,1,3,2100,32,0.0,0.03134453565061461,0.02837069497479074,0.00010007770422185585,1300,192fe7df
0.013464001938700676,0.0060355812311172485,0.0684710144996643,0.06847100704908371,0.013464001938700676,199,3200,1768364463,checkpoint_000199,True,False,200,870dc453,2026-01-14_04-21-03,4.97404146194458,1073.8231687545776,1032386,gypsum-gpu181,10.100.31.81,1073.8231687545776,200,96,1,2,1700,32,0.0,0.09024916952515598,0.017463948546098416,0.0002259654736559139,1200,870dc453
0.0004509067803155631,0.0005495992954820395,0.06316430866718292,0.06316431611776352,0.0004509067803155631,199,1600,1768364799,checkpoint_000199,True,False,200,28ac8b33,2026-01-14_04-26-39,5.626844644546509,1216.2408232688904,1041185,gypsum-gpu181,10.100.31.81,1216.2408232688904,200,54,1,3,300,64,0.0,0.04410104474956476,0.07496238019763413,0.0020197746041541232,1700,28ac8b33
0.003195906290784478,0.003419749904423952,0.05643250048160553,0.05643249303102493,0.003195906290784478,199,3200,1768365606,checkpoint_000199,True,False,200,a388a99e,2026-01-14_04-40-06,5.331127166748047,1112.1091825962067,1074794,gypsum-gpu181,10.100.31.81,1112.1091825962067,200,90,1,4,800,32,0.05,0.7335380673066348,0.8400794720187718,0.0003528397807167581,1300,a388a99e
0.008555327542126179,0.007732730824500322,0.054056551307439804,0.054056551307439804,0.008555327542126179,137,2208,1768366305,checkpoint_000137,True,False,138,9ce5f54d,2026-01-14_04-51-46,14.362688302993774,1477.3963429927826,1087642,gypsum-gpu181,10.100.31.81,1477.3963429927826,138,46,1,5,1900,32,0.4,0.6855682233668623,0.03188240628130629,0.00025082879212669684,2100,9ce5f54d
0.012041246518492699,0.010039038024842739,0.05113042891025543,0.05113042891025543,0.012041246518492699,199,400,1768366586,checkpoint_000199,True,False,200,78191b5a,2026-01-14_04-56-26,4.044182062149048,950.0008625984192,1112787,gypsum-gpu181,10.100.31.81,950.0008625984192,200,30,1,5,800,256,0.3,0.028167486088635476,0.10322535652797084,0.0026182210694641467,1200,78191b5a
0.009946854785084724,0.008907338604331017,0.05377206951379776,0.05377206951379776,0.009946854785084724,199,400,1768367546,checkpoint_000199,True,False,200,cd72e6ef,2026-01-14_05-12-26,4.453843116760254,1203.675850868225,1133379,gypsum-gpu181,10.100.31.81,1203.675850868225,200,75,1,4,1300,256,0.35000000000000003,0.0209610716825527,0.21881279384424715,0.0018715786086655672,1200,cd72e6ef
4.838592212763615e-05,2.7491563741932623e-05,0.04383029043674469,0.04383029043674469,4.838592212763615e-05,199,3200,1768369511,checkpoint_000199,True,False,200,47007f04,2026-01-14_05-45-11,12.48353385925293,2889.671189069748,1143014,gypsum-gpu181,10.100.31.81,2889.671189069748,200,55,2,3,2400,32,0.0,0.7445982569151343,0.17552972578678436,0.00136411245413469,2100,47007f04
0.006610002368688583,0.006083193700760603,0.04696057736873627,0.04696057736873627,0.006610002368688583,199,3200,1768369951,checkpoint_000199,True,False,200,ac7cee67,2026-01-14_05-52-31,8.340312957763672,2370.0984065532684,1164569,gypsum-gpu181,10.100.31.81,2370.0984065532684,200,58,2,5,2000,32,0.35000000000000003,0.1527307485609497,0.11815621084151694,0.0005947626855763684,1800,ac7cee67
9.442064038012177e-05,0.00014709372771903872,0.05208995193243027,0.05208994448184967,9.442064038012177e-05,199,1600,1768371136,checkpoint_000199,True,False,200,48063ea4,2026-01-14_06-12-17,7.306024074554443,1582.0512335300446,1199597,gypsum-gpu181,10.100.31.81,1582.0512335300446,200,45,1,6,1100,64,0.0,0.1932113101590144,0.1522905311652806,0.0013297753540217462,1800,48063ea4
0.002869843505322933,0.002213685307651758,0.05926699936389923,0.05926699936389923,0.002869843505322933,199,3200,1768371720,checkpoint_000199,True,False,200,7e9b2c7a,2026-01-14_06-22-00,7.593117713928223,1736.277864933014,1209347,gypsum-gpu181,10.100.31.81,1736.277864933014,200,77,2,2,1700,32,0.0,0.06605607672321322,0.0730967989115941,0.00025641612499447146,1500,7e9b2c7a
