train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/init_lr_ratio,config/train_loop_config/dropout,config/train_loop_config/max_lr,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/final_lr_ratio,config/train_loop_config/message_hidden_dim,logdir
0.0006402244907803833,0.0003860724391415715,0.19644379615783691,0.19644379615783691,0.0006402244907803833,199,21000,1763165668,checkpoint_000199,True,False,200,dbc92359,2025-11-15_00-14-28,9.359703302383423,2202.4005632400513,423713,gypsum-gpu162,10.100.31.62,2202.4005632400513,200,0.2618913912917298,0.0,0.0022115033272394305,30,300,32,4,2,0.3267581227557168,2200,dbc92359
0.048971980810165405,0.04038255661725998,0.17306584119796753,0.17306584119796753,0.048971980810165405,199,5400,1763166274,checkpoint_000199,True,False,200,fdf64423,2025-11-15_00-24-34,8.104270935058594,1105.3848013877869,468382,gypsum-gpu162,10.100.31.62,1105.3848013877869,200,0.38680438251474486,0.4,0.0004910275507234434,50,600,128,4,2,0.21711506882709483,1100,fdf64423
0.04055462405085564,0.027970386669039726,0.19933965802192688,0.19933965802192688,0.04055462405085564,165,8798,1763167656,checkpoint_000165,True,False,166,8d16c1e1,2025-11-15_00-47-36,9.5638427734375,1934.1970863342285,489190,gypsum-gpu162,10.100.31.62,1934.1970863342285,166,0.07068523003134888,0.3,0.002707486139269477,3,1400,64,2,2,0.011209522585777905,2300,8d16c1e1
0.03522253409028053,0.04066681116819382,0.19612589478492737,0.19612589478492737,0.03522253409028053,199,10600,1763167900,checkpoint_000199,True,False,200,91282ecc,2025-11-15_00-51-40,6.864166736602783,1578.3484218120575,509519,gypsum-gpu162,10.100.31.62,1578.3484218120575,200,0.4020431849331807,0.2,0.0034431959924975364,86,2000,64,4,2,0.6303801815612602,900,91282ecc
0.16416798532009125,0.10002918541431427,0.2347949743270874,0.23479494452476501,0.16416798532009125,17,1890,1763167963,checkpoint_000017,True,False,18,c2f1f968,2025-11-15_00-52-43,11.36722469329834,262.7280623912811,548637,gypsum-gpu162,10.100.31.62,262.7280623912811,18,0.011627283085174672,0.1,0.004146096370159047,38,2300,32,4,2,0.49201634210439465,2000,c2f1f968
0.023155484348535538,0.016027146950364113,0.1885543167591095,0.1885543167591095,0.023155484348535538,199,2800,1763168987,checkpoint_000199,True,False,200,d2227751,2025-11-15_01-09-47,7.057325839996338,1038.839030265808,555301,gypsum-gpu162,10.100.31.62,1038.839030265808,200,0.6402844912019816,0.0,0.0006133113864228081,42,1800,256,6,2,0.02248065304529669,400,d2227751
0.003583709942176938,0.006382417865097523,0.24636004865169525,0.24636003375053406,0.003583709942176938,199,10600,1763169768,checkpoint_000199,True,False,200,deb5aeaf,2025-11-15_01-22-48,13.845266103744507,1755.804077386856,556430,gypsum-gpu162,10.100.31.62,1755.804077386856,200,0.1277605906233864,0.0,0.0003995619008664398,19,600,64,3,1,0.12435847096952483,2300,deb5aeaf
0.05726899579167366,0.04139019176363945,0.17519143223762512,0.17519143223762512,0.05726899579167366,199,21000,1763170354,checkpoint_000199,True,False,200,c69b8d9f,2025-11-15_01-32-34,6.241128444671631,1315.4824602603912,593584,gypsum-gpu162,10.100.31.62,1315.4824602603912,200,0.05678693896039821,0.4,0.002097525369866808,37,2200,32,5,1,0.015646923793365165,500,c69b8d9f
0.021442975848913193,0.02581450156867504,0.18458950519561768,0.18458950519561768,0.021442975848913193,199,10600,1763170713,checkpoint_000199,True,False,200,b92606d1,2025-11-15_01-38-33,5.291029214859009,890.8255934715271,622999,gypsum-gpu162,10.100.31.62,890.8255934715271,200,0.1720704297876481,0.0,0.00037539683182145434,96,500,64,4,1,0.27698392227486124,600,b92606d1
0.005164514295756817,0.006963444873690605,0.21296899020671844,0.21296899020671844,0.005164514295756817,199,2800,1763171914,checkpoint_000199,True,False,200,150de8a2,2025-11-15_01-58-35,8.071152925491333,1510.5724275112152,653057,gypsum-gpu162,10.100.31.62,1510.5724275112152,200,0.3711812891020289,0.0,0.000443240141834771,10,1400,256,4,2,0.03767812674208911,2000,150de8a2
1.0008540153503418,1.083822250366211,1.0291779041290283,1.0291779041290283,1.0008540153503418,199,21000,1763172377,checkpoint_000199,True,False,200,be845f1c,2025-11-15_02-06-18,7.591589689254761,1618.186026096344,668960,gypsum-gpu162,10.100.31.62,1618.186026096344,200,0.14290101860287793,0.0,0.008942243948162065,55,2100,32,6,2,0.44832854436499076,1000,be845f1c
0.015349400229752064,0.01123598963022232,0.21856465935707092,0.21856465935707092,0.015349400229752064,55,5880,1763172423,checkpoint_000055,True,False,56,8eb03710,2025-11-15_02-07-03,8.343909502029419,461.5437080860138,708819,gypsum-gpu162,10.100.31.62,461.5437080860138,56,0.037751703726812434,0.0,0.005170171187308108,11,2100,32,3,1,0.06820138495896282,1800,8eb03710
0.43641185760498047,0.4108022451400757,0.43059733510017395,0.43059733510017395,0.43641185760498047,12,182,1763172477,checkpoint_000012,True,False,13,f3d628c1,2025-11-15_02-07-58,3.1740236282348633,67.4204478263855,724980,gypsum-gpu162,10.100.31.62,67.4204478263855,13,0.8406081742227066,0.15000000000000002,0.005595669736458433,93,600,256,3,1,0.06607336324355786,500,f3d628c1
