AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.30_2,"[185, 23, 47]",0.45020726323127747,0.41242921352386475,0.47477471828460693,0.558569610118866,0.5557321310043335
0.35_0,"[150, 18, 38]",0.31355020403862,0.3274388313293457,0.23673707246780396,0.39554086327552795,0.23883669078350067
0.35_1,"[147, 18, 37]",0.5024561285972595,0.5488635301589966,0.6672785878181458,0.5950250625610352,0.6267203092575073
0.35_2,"[153, 19, 39]",0.4916747510433197,0.41289785504341125,0.5223851799964905,0.43303611874580383,0.4108304977416992
0.40_0,"[120, 15, 31]",0.5584985613822937,0.6331988573074341,0.5974941849708557,0.6943414211273193,0.33521369099617004
0.40_1,"[114, 14, 29]",0.4191637933254242,0.5565661787986755,0.5180613398551941,0.5664078593254089,0.5671469569206238
0.40_2,"[118, 14, 30]",0.11246947199106216,0.15470847487449646,0.1447497010231018,0.183188334107399,0.18455052375793457
0.45_0,"[96, 12, 24]",0.3383767604827881,0.3933074474334717,0.3526897728443146,0.3797512948513031,0.3182581961154938
0.45_1,"[88, 11, 22]",0.6025344729423523,0.4824939966201782,0.4079904556274414,0.49909737706184387,0.4410552680492401
0.45_2,"[98, 12, 25]",0.19936566054821014,0.35869458317756653,0.40499886870384216,0.22375643253326416,0.2619257867336273
0.50_0,"[83, 10, 21]",0.32919976115226746,0.30490490794181824,0.3291219174861908,0.3017677366733551,0.3210643529891968
0.50_1,"[77, 9, 20]",0.3112042248249054,0.2765943109989166,0.3420651853084564,0.26391541957855225,0.34114959836006165
0.50_2,"[81, 10, 21]",0.5899884104728699,0.7381365895271301,0.6782696843147278,0.5153645873069763,0.5871238112449646
0.55_0,"[65, 8, 17]",0.25457873940467834,0.23626373708248138,0.2738095223903656,0.18086081743240356,0.3086080551147461
0.55_1,"[66, 8, 17]",0.1730984002351761,0.1328803151845932,0.2406565546989441,0.18036703765392303,0.17969495058059692
0.55_2,"[67, 8, 17]",0.21875,0.21875,0.1944444328546524,0.21875,0.21875
0.60_0,"[56, 7, 14]",0.34111952781677246,0.36589452624320984,0.38278618454933167,0.19515667855739594,0.319865345954895
0.60_1,"[55, 6, 14]",0.2856481373310089,0.2891203463077545,0.2611111104488373,0.2891203463077545,0.2856481373310089
0.60_2,"[57, 7, 15]",0.45054712891578674,0.5052329301834106,0.5744107961654663,0.45054712891578674,0.45054712891578674
0.65_0,"[51, 6, 13]",0.22967171669006348,0.217276930809021,0.21277356147766113,0.11992844939231873,0.15610270202159882
0.65_1,"[48, 6, 12]",0.19715909659862518,0.16856062412261963,0.21231059730052948,0.16856062412261963,0.19715909659862518
0.65_2,"[49, 6, 13]",0.10138889402151108,0.1032407358288765,0.12916666269302368,0.07870370149612427,0.13333334028720856
0.70_0,"[41, 5, 11]",0.23750001192092896,0.13749998807907104,0.22708334028720856,0.10625001043081284,0.26249998807907104
0.70_1,"[39, 4, 10]",0.26967594027519226,0.0885416641831398,0.11400463432073593,0.2552083432674408,0.09317129850387573
0.70_2,"[39, 4, 10]",0.1349206268787384,0.20899470150470734,0.11640211939811707,0.0952380895614624,0.11375659704208374
0.75_0,"[37, 4, 10]",0.32506611943244934,0.33201056718826294,0.3124999701976776,0.3316798806190491,0.32506611943244934
0.75_1,"[35, 4, 9]",0.37361109256744385,0.37361109256744385,0.24761903285980225,0.40912696719169617,0.40912696719169617
0.75_2,"[36, 4, 10]",0.4224867820739746,0.09209655970335007,0.3550264537334442,0.5130952000617981,0.4160383641719818
0.80_0,"[28, 3, 7]",0.15833334624767303,0.16388888657093048,0.16388888657093048,0.1666666716337204,0.15833334624767303
0.80_1,"[32, 4, 8]",0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
0.80_2,"[30, 3, 8]",0.0803571417927742,0.0505952388048172,0.0803571417927742,0.125,0.0803571417927742
0.85_0,"[27, 3, 7]",0.0,0.0416666679084301,0.013888890855014324,0.0,0.0
0.85_1,"[27, 3, 7]",0.402777761220932,0.5246527791023254,0.5246527791023254,0.5204861164093018,0.2993055582046509
0.85_2,"[24, 3, 6]",0.375,0.3802083432674408,0.2854166626930237,0.25,0.27916666865348816
0.90_0,"[23, 2, 6]",0.16354165971279144,0.3611110746860504,0.17395831644535065,0.17395831644535065,0.22708334028720856
0.90_1,"[23, 2, 6]",0.25,0.25,0.25,0.2083333283662796,0.13333334028720856
0.90_2,"[28, 3, 7]",0.2222222536802292,0.13333334028720856,0.19166666269302368,0.13611111044883728,0.17222221195697784
0.95_0,"[21, 2, 6]",0.3333333432674408,0.23333333432674408,0.3166666626930237,0.3375000059604645,0.3541666567325592
0.95_1,"[21, 2, 6]",0.10833332687616348,0.09166666865348816,0.09166666865348816,0.10833332687616348,0.10833332687616348
0.95_2,"[25, 3, 7]",0.09444443136453629,0.14999999105930328,0.0833333358168602,0.10833332687616348,0.0972222313284874
1.00_0,"[22, 2, 6]",0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657,0.29999998211860657
1.00_1,"[22, 2, 6]",0.0833333358168602,0.06666667014360428,0.06666667014360428,0.0833333358168602,0.07500000298023224
1.00_2,"[24, 3, 6]",0.08611110597848892,0.08611110597848892,0.08611110597848892,0.08611110597848892,0.08611110597848892
