,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_tanimoto_0.70_0,0.7,40,10,0.0086457383863749,0.745704710483551,0.4893617033958435,0.644444465637207,0.4664265811443329
sider_spectra_tanimoto_0.70_1,0.7,38,10,0.0043234382209801,0.7288068532943726,0.5882353186607361,0.6629629731178284,0.5735815763473511
sider_spectra_tanimoto_0.70_2,0.7,36,10,0.0089801240375578,0.7409390211105347,0.6465517282485962,0.6962962746620178,0.6500027179718018
sider_spectra_tanimoto_0.75_0,0.75,37,10,0.0062767952687267,0.8083806037902832,0.7086614370346069,0.7259259223937988,0.801713764667511
sider_spectra_tanimoto_0.75_1,0.75,36,10,0.0046161374348168,0.7208572030067444,0.4919786155223846,0.6481481194496155,0.4498584270477295
sider_spectra_tanimoto_0.75_2,0.75,36,10,0.0081831154644863,0.7418888807296753,0.6666666865348816,0.6777777671813965,0.782011866569519
sider_spectra_tanimoto_0.80_0,0.8,32,8,0.0029947549061668,0.6469924449920654,0.5202311873435974,0.6157407164573669,0.4134168624877929
sider_spectra_tanimoto_0.80_1,0.8,34,9,0.004636602470581,0.7824981808662415,0.5888324975967407,0.6666666865348816,0.6861911416053772
sider_spectra_tanimoto_0.80_2,0.8,32,9,0.0100705357274507,0.7692034244537354,0.6746987700462341,0.6666666865348816,0.6379534006118774
sider_spectra_tanimoto_0.85_0,0.85,30,8,0.0053934808395733,0.8016262054443359,0.6702127456665039,0.7129629850387573,0.7144981622695923
sider_spectra_tanimoto_0.85_1,0.85,32,8,0.0010313830092133,0.7073203325271606,0.4375,0.6666666865348816,0.3461743593215942
sider_spectra_tanimoto_0.85_2,0.85,30,8,0.0027234534525843,0.7766479253768921,0.7184466123580933,0.7314814925193787,0.6358323693275452
sider_spectra_tanimoto_0.90_0,0.9,28,7,0.0002061640982923,0.7825602889060974,0.453125,0.6296296119689941,0.42216956615448
sider_spectra_tanimoto_0.90_1,0.9,28,7,0.0009004164533933,0.6803169250488281,0.53125,0.682539701461792,0.4418905377388
sider_spectra_tanimoto_0.90_2,0.9,26,7,0.0017147499153196,0.6803222298622131,0.5921052694320679,0.6719576716423035,0.6318182349205017
sider_spectra_tanimoto_0.95_0,0.95,22,6,0.0008417508417508,0.7019878625869751,0.6241135001182556,0.6728395223617554,0.4966572225093841
sider_spectra_tanimoto_0.95_1,0.95,23,6,0.0,0.7657750248908997,0.6379310488700867,0.7407407164573669,0.5091344714164734
sider_spectra_tanimoto_0.95_2,0.95,19,5,0.0024449915609854,0.7876189947128296,0.5494505763053894,0.6962962746620178,0.6169520616531372
sider_spectra_tanimoto_1.00_0,1.0,22,6,0.0,0.6809751391410828,0.4444444477558136,0.6913580298423767,0.4876434504985809
sider_spectra_tanimoto_1.00_1,1.0,21,6,0.0,0.7144460082054138,0.5090909004211426,0.6666666865348816,0.5623501539230347
sider_spectra_tanimoto_1.00_2,1.0,20,6,0.0,0.774404764175415,0.4958677589893341,0.6234567761421204,0.6255509853363037
