RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.25_0,"[83, 11, 24]",2.563973903656006,2.5558958053588867,2.5510401725769043,2.5558266639709473,2.552628755569458
0.25_1,"[85, 12, 25]",1.2050923109054565,1.3447778224945068,1.451857328414917,0.9733157753944397,2.3150365352630615
0.25_2,"[79, 11, 23]",1.5047261714935303,1.3503328561782837,1.5531795024871826,1.4732831716537476,1.677674651145935
0.30_0,"[67, 9, 19]",2.171013832092285,2.156994342803955,2.1782126426696777,2.1978869438171387,2.1747679710388184
0.30_1,"[64, 9, 19]",1.7072486877441406,1.7029521465301514,5.160604476928711,3.505720615386963,3.8132400512695312
0.30_2,"[56, 8, 16]",2.3284912109375,2.4967703819274902,2.0079774856567383,1.8452568054199219,2.617241621017456
0.35_0,"[52, 7, 15]",1.2213045358657837,1.8718048334121704,1.3659337759017944,1.180440068244934,1.7453269958496094
0.35_1,"[50, 7, 15]",2.111379861831665,1.608797550201416,1.781787395477295,2.1000401973724365,1.6497751474380493
0.35_2,"[49, 6, 14]",1.421729564666748,1.9252697229385376,1.8748832941055298,1.9200570583343506,1.4877268075942993
0.40_0,"[41, 5, 12]",1.9211539030075073,1.5022742748260498,1.832797646522522,2.0677404403686523,1.9773038625717163
0.40_1,"[39, 5, 11]",1.5131874084472656,1.6329246759414673,1.5242685079574585,1.5042388439178467,1.4783475399017334
0.40_2,"[40, 5, 12]",3.381455421447754,3.3762052059173584,3.3760673999786377,3.37577486038208,1.2642099857330322
0.45_0,"[28, 4, 9]",1.2634979486465454,1.761336088180542,1.745923638343811,1.766286849975586,1.7438942193984985
0.45_1,"[29, 4, 9]",1.1019483804702759,1.1797521114349365,1.5282158851623535,1.0671494007110596,1.6311978101730347
0.45_2,"[25, 3, 8]",1.6445618867874146,1.47298002243042,1.5468474626541138,1.5136748552322388,1.7290103435516357
0.50_0,"[25, 3, 8]",1.9328515529632568,1.8247597217559814,2.0147600173950195,1.7942513227462769,1.9664051532745361
0.50_1,"[24, 3, 7]",1.2253766059875488,1.1574335098266602,1.6205732822418213,0.9772166013717651,1.4460707902908325
0.50_2,"[25, 3, 8]",2.216813802719116,2.9670209884643555,3.081709623336792,3.13156795501709,3.002722978591919
0.55_0,"[19, 2, 6]",1.6349214315414429,1.588984727859497,1.6393206119537354,1.55916166305542,1.472959280014038
0.55_1,"[19, 2, 6]",1.342170000076294,1.324907898902893,1.8120920658111572,1.5707961320877075,1.3325729370117188
0.55_2,"[23, 3, 7]",1.647504448890686,1.5454989671707153,1.8499603271484375,1.617448329925537,1.6669883728027344
0.60_0,"[17, 2, 5]",2.0158348083496094,1.9928442239761353,2.021054267883301,1.9868006706237793,2.0174152851104736
0.60_1,"[18, 2, 5]",1.7701696157455444,1.3456822633743286,1.3545658588409424,1.333662509918213,1.374774694442749
0.60_2,"[18, 2, 5]",2.022880792617798,2.0914573669433594,2.1615214347839355,2.5234620571136475,2.8878068923950195
0.65_0,"[12, 1, 4]",,,,,
0.65_1,"[14, 1, 4]",,,,,
0.65_2,"[14, 2, 4]",1.7415982484817505,1.756277084350586,1.7529585361480713,1.6549410820007324,1.8778040409088135
0.70_0,"[12, 1, 4]",,,,,
0.70_1,"[11, 1, 4]",,,,,
0.70_2,"[10, 1, 3]",,,,,
0.75_0,"[11, 1, 3]",,,,,
0.75_1,"[10, 1, 3]",,,,,
0.75_2,"[7, 1, 3]",,,,,
0.80_0,"[7, 0, 2]",,,,,
0.80_1,"[9, 1, 3]",,,,,
0.80_2,"[8, 1, 3]",,,,,
0.85_0,"[6, 0, 2]",,,,,
0.85_1,"[7, 1, 2]",,,,,
0.85_2,"[7, 0, 2]",,,,,
0.90_0,"[7, 1, 2]",,,,,
0.90_1,"[6, 0, 2]",,,,,
0.90_2,"[7, 1, 2]",,,,,
0.95_0,"[6, 0, 2]",,,,,
0.95_1,"[7, 0, 2]",,,,,
0.95_2,"[7, 1, 3]",,,,,
1.00_0,"[5, 0, 2]",,,,,
1.00_1,"[4, 0, 2]",,,,,
1.00_2,"[5, 0, 2]",,,,,
