dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
sider,random,2,RF,0.6593931805841867,0.4784332590793486
sider,random,2,XGB,0.6271750869196102,0.4918563573780279
sider,random,2,SVM,0.6291318838191365,0.47622402552866566
sider,random,3,LogReg,0.6117557876704162,
sider,random,3,RF,0.6487256104984754,0.46645812393628555
sider,random,3,XGB,0.6328650565085517,0.4804071552531412
sider,random,3,SVM,0.6257773473350676,0.4614841738211352
sider,random,4,LogReg,0.6129276800000396,
sider,random,4,RF,0.6362291069181479,0.4614372728800572
sider,random,4,XGB,0.6326174488591668,0.47052979559200847
sider,random,4,SVM,0.6084082749353911,0.4566261659746234
sider,scaffold,0,LogReg,0.5826437683081783,
sider,scaffold,0,RF,0.6220052306668841,0.44865709130252296
sider,scaffold,0,XGB,0.5854899671960866,0.46866010393542756
sider,scaffold,0,SVM,0.6118321915173828,0.43746941610324747
sider,scaffold,1,LogReg,0.5935611308208635,
sider,scaffold,1,RF,0.6085470223181143,0.4482249090048207
sider,scaffold,1,XGB,0.5936312214717323,0.47200089611084883
sider,scaffold,1,SVM,0.6217265836921614,0.440071884
sider,scaffold,2,LogReg,0.5966166089129347,
sider,scaffold,2,RF,0.6141353725140601,0.44589345465326524
sider,scaffold,2,XGB,0.609456962,0.46674557198669253
sider,scaffold,2,SVM,0.6090738608710414,0.4385926139674118
sider,scaffold,3,LogReg,0.5955620175386144,
sider,scaffold,3,RF,0.6227205223166619,0.44806205764130813
sider,scaffold,3,XGB,0.6020397423210615,0.4638494991296669
sider,scaffold,3,SVM,0.611877506,0.4381634982763382
sider,scaffold,4,LogReg,0.5895182670917115,
sider,scaffold,4,RF,0.6226416821583148,0.4489960760650372
sider,scaffold,4,XGB,0.6024145269293675,0.4701162436067252
sider,scaffold,4,SVM,0.6144064647067994,0.43972561603175886
sider,umap,0,LogReg,0.5582908180713351,
sider,umap,0,RF,0.5661091391356966,0.45911912016521533
sider,umap,0,XGB,0.5833088996691308,0.47954283867707814
sider,umap,0,SVM,0.5661528274193347,0.45677732543597444
sider,umap,1,LogReg,0.5299710377075699,
sider,umap,1,RF,0.5614114148793138,0.4656326726517452
sider,umap,1,XGB,0.5546145603153578,0.4790475180296428
sider,umap,1,SVM,0.5617220097692942,0.4592161563259998
sider,umap,2,LogReg,0.5424018707968126,
sider,umap,2,RF,0.5422442166967179,0.4540577749707275
sider,umap,2,XGB,0.5478719592362945,0.4701556660653066
sider,umap,2,SVM,0.5496273633305793,0.44451614130468364
sider,umap,3,LogReg,0.5464629353045977,
sider,umap,3,RF,0.5500706666514444,0.46093233322106686
sider,umap,3,XGB,0.5681751659137001,0.47864784741250027
sider,umap,3,SVM,0.552931669,0.45856264832691324
sider,umap,4,LogReg,0.5726228068973438,
sider,umap,4,RF,0.5752381403779926,0.487983763
sider,umap,4,XGB,0.5611601473229073,0.5058774680854031
sider,umap,4,SVM,0.5431034711324768,0.48065850492036416
tox21,random,0,LogReg,0.7809112113720137,
tox21,random,0,RF,0.7978845078120685,0.2473748770756642
tox21,random,0,XGB,0.7979658560829965,0.258616026
tox21,random,0,SVM,0.7921383331783951,0.24767223408220265
tox21,random,1,LogReg,0.7895727483555346,
tox21,random,1,RF,0.8311286173739406,0.24512568052341674
tox21,random,1,XGB,0.792122986,0.25440836588514343
tox21,random,1,SVM,0.8285837750420848,0.24509875776517218
tox21,random,2,LogReg,0.7863396615973072,
tox21,random,2,RF,0.8001477746484748,0.24369151830516766
